Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Retinoid Metabolic Process (GO:0001523),9/40,0.6683021670366296,0.999996199652386,0,0,0.9003161515671706,0.3628407894540092,KDM5A;ADH4;RDH11;E2F1;NAPEPLD;LRP2;RDH13;ALDH8A1;LRP8
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Membrane (GO:1905477),18/79,0.67145564657704,0.999996199652386,0,0,0.9149484710027064,0.3644306701871138,PRKCI;MTCL1;ITGA3;ARHGEF16;ZDHHC5;MIEF2;ANK3;BBC3;NKD2;MAPK8;DLG1;ERBB2;AKT1;STX4;STX3;SQSTM1;PLS1;ARF6
GO_Biological_Process_2023,Regulation Of Neuron Differentiation (GO:0045664),18/79,0.67145564657704,0.999996199652386,0,0,0.9149484710027064,0.3644306701871138,MED1;CASZ1;SOX11;NREP;TIAM1;SIN3A;ID2;CDK5RAP1;CPNE1;HES1;ARHGEF2;CALR;TCF3;ECT2;CDK5RAP3;CDK5RAP2;YWHAH;FGFR1
GO_Biological_Process_2023,Actin Filament Capping (GO:0051693),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,GSN;CAPZB;AVIL;CAPG
GO_Biological_Process_2023,Autophagy Of Nucleus (GO:0044804),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,WDR45B;ULK3;ULK1;WIPI2
GO_Biological_Process_2023,Barbed-End Actin Filament Capping (GO:0051016),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,GSN;CAPZB;AVIL;CAPG
GO_Biological_Process_2023,Cell Junction Maintenance (GO:0034331),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,CLDN3;F2R;F2RL1;CBLN3
GO_Biological_Process_2023,Detection Of Mechanical Stimulus (GO:0050982),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,JUP;CDH2;CTNNB1;PTK2
GO_Biological_Process_2023,Endothelial Cell Proliferation (GO:0001935),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,ERN1;DLG1;NRARP;PRKX
GO_Biological_Process_2023,Mitotic Cytokinetic Process (GO:1902410),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,CHMP1A;CHMP4C;CNTROB;KIF20A
GO_Biological_Process_2023,Myoblast Fusion (GO:0007520),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,DOCK5;CD9;PTGFRN;DOCK1
GO_Biological_Process_2023,Negative Regulation Of Lipid Catabolic Process (GO:0050995),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,BSCL2;PRKAA1;AKT1;SORL1
GO_Biological_Process_2023,Neuromuscular Process (GO:0050905),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,CLN3;PRRT2;GCH1;TPP1
GO_Biological_Process_2023,Positive Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070304),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,SEMA4C;NOD2;MID1;KLHDC10
GO_Biological_Process_2023,Regulation Of RIG-I Signaling Pathway (GO:0039535),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,DHX58;ZCCHC3;OASL;PUM2
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,FOXA1;EPCAM;FLOT1;DENND6A
GO_Biological_Process_2023,Regulation Of Epidermal Cell Differentiation (GO:0045604),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,SULT2B1;KDF1;SFN;AQP3
GO_Biological_Process_2023,Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,PLEKHG3;RUFY3;LLGL1;LLGL2
GO_Biological_Process_2023,Regulation Of Exosomal Secretion (GO:1903541),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,SDC4;HGS;SDC1;ATP9A
GO_Biological_Process_2023,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562),4/18,0.6728508942473331,0.999996199652386,0,0,0.8861130659160216,0.3511059338683417,FLT1;MDK;PLCG1;FGFR1
GO_Biological_Process_2023,Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364),6/27,0.6749943548186452,0.999996199652386,0,0,0.8860662951012027,0.3482692002719266,MED1;STAT5B;ERBB2;IQGAP1;PLCG1;SOX9
GO_Biological_Process_2023,Myeloid Cell Development (GO:0061515),6/27,0.6749943548186452,0.999996199652386,0,0,0.8860662951012027,0.3482692002719266,APP;MED1;ATP6AP1;GP1BB;MYB;FOXP1
GO_Biological_Process_2023,Regulation Of SMAD Protein Signal Transduction (GO:0060390),6/27,0.6749943548186452,0.999996199652386,0,0,0.8860662951012027,0.3482692002719266,NUP93;SMAD4;SLC2A10;TGFBR1;SH2B1;OVOL2
GO_Biological_Process_2023,Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0061178),6/27,0.6749943548186452,0.999996199652386,0,0,0.8860662951012027,0.3482692002719266,ANO1;PIM3;STX4;TRPM4;BAIAP3;CDK16
GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),6/27,0.6749943548186452,0.999996199652386,0,0,0.8860662951012027,0.3482692002719266,PSMA3;HDAC1;RCAN3;CTSH;ATP13A2;PRSS22
