Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Cycle Process (GO:0010564),28/130,0.9371094388406804,0.9999952683500742,0,0,0.7404715514787977,0.0480974825402003,DCUN1D3;TXLNG;KLHL13;CDC42;FLCN;GPER1;CHEK1;BCL7B;KIF13A;NUDT16;BRD7;BUB1;SH3GLB1;UVRAG;PBRM1;CDKN2B;SMARCC2;PHF10;CAV2;KLHL21;HMGA2;CDC25C;SMARCA2;SFRP1;APC;BIN1;PIK3C3;CALM1
GO_Biological_Process_2023,Nucleus Organization (GO:0006997),8/44,0.9371898294400226,0.9999952683500742,0,0,0.599925843529848,0.0389168441988712,BIN1;CHMP1B;TPR;CHMP2B;CHMP4A;NUP54;SYNE1;CHMP5
GO_Biological_Process_2023,Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824),8/44,0.9371898294400226,0.9999952683500742,0,0,0.599925843529848,0.0389168441988712,GSK3B;SMAD3;TPR;PRKCD;PIK3R1;CAMK1;GAS6;IPO5
GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),8/44,0.9371898294400226,0.9999952683500742,0,0,0.599925843529848,0.0389168441988712,PTPN1;ERP44;HSPA1L;HSPB8;DNAJB4;HSPB7;HSPB2;OPTN
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),5/30,0.9375841793510612,0.9999952683500742,0,0,0.5400407633870669,0.0348049434335006,CD81;MPL;FCER1A;HLA-DOA;FCGR2B
GO_Biological_Process_2023,Regulation Of Arp2/3 Complex-Mediated Actin Nucleation (GO:0034315),5/30,0.9375841793510612,0.9999952683500742,0,0,0.5400407633870669,0.0348049434335006,GMFB;GMFG;WASF1;WASF2;WASF3
GO_Biological_Process_2023,Regulation Of Embryonic Development (GO:0045995),12/62,0.937880220883933,0.9999952683500742,0,0,0.6477773654916512,0.0415439280746987,KAT2B;SOX17;INSR;MBIP;NPHP3;WDPCP;TRIP12;ACTR8;PHLDB2;CLASP1;CLASP2;ZBED3
GO_Biological_Process_2023,Protein Localization To Nucleus (GO:0034504),26/122,0.9392073490291906,0.9999952683500742,0,0,0.7305850074404762,0.0458215648539434,IPO11;RPL11;XPA;ARL2;TOR1AIP2;TOR1AIP1;IPO5;IPO8;TPR;KPNA4;NUP88;MSX1;TNPO1;KPNA3;KPNA1;SKP1;AKIRIN2;CHCHD10;SUPT7L;BMP4;PIKFYVE;ARL2BP;NUP50;MDM2;TAF8;RANGRF
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),135/557,0.9398681771615996,0.9999952683500742,0,0,0.861016955252997,0.0533965266700028,RORA;RORB;FGF2;PSMD9;FGF7;HMGN5;SOX17;TP63;MAP3K5;PITX3;OSR2;MEF2C;MAP2K1;SMARCC2;DYRK1A;MITF;MED4;FOXP3;SUPT7L;MORF4L1;SFRP1;MYCN;TBL1XR1;TFAM;KMT2A;NOTCH4;GATA6;CREBL2;PRDM11;FOXO1;NPAS3;DEAF1;PRDM16;INPP5K;ZNF423;PPARGC1A;RREB1;SNX5;SMAD2;EGR1;JUN;EGR2;SMAD4;ZFHX3;SMAD3;FZD4;ZBTB16;TRIP4;HMGA2;NR1D2;IGF1;SMARCA1;NR0B2;SMARCA2;FLI1;ESR2;BMP4;MLXIPL;BMP2;IL6;HNRNPD;TCF4;TCF3;PICALM;CDKN1C;ACVRL1;MESP1;CALCOCO1;SETD3;PHF20;RNF14;CITED2;HMGB2;AKR1B1;ILK;ING2;PPP3CB;ING3;MECOM;SFR1;HNF4A;TEAD1;IL10;NCOA1;ATMIN;PRMT2;TFE3;PAX3;FOS;ACTR8;TGFBR1;KAT2B;PPM1A;NR5A2;CREB1;PAX8;MDFIC;TAL1;IRF4;PPARG;PPARA;CREB5;HDAC4;YAP1;FOXC2;CEBPB;PRKAA1;SP100;USP16;NR1I2;RNF6;EGFR;RXRA;WNT11;NFIL3;ATOH8;HAS3;SRY;TBX1;TAF12;CNBP;MBD2;NR1H4;NR1H3;GTF2H1;KLF4;TBX5;KLF2;GATAD2A;HIPK2;KLF6;NFIB;CAMK4;QRICH1;NAA15
GO_Biological_Process_2023,Protein Methylation (GO:0006479),6/35,0.9401922403514832,0.9999952683500742,0,0,0.5586130211395415,0.034450175371133,METTL22;SETD3;PRMT2;ETF1;FAM98B;METTL21A
GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),6/35,0.9401922403514832,0.9999952683500742,0,0,0.5586130211395415,0.034450175371133,AVEN;CDK6;CDK3;FHL1;CDC25C;STOX1
GO_Biological_Process_2023,Regulation Of Postsynaptic Membrane Potential (GO:0060078),6/35,0.9401922403514832,0.9999952683500742,0,0,0.5586130211395415,0.034450175371133,GSK3B;MEF2C;GABRA5;LRRK2;GABRE;GRIN1
GO_Biological_Process_2023,Regulation Of Regulated Secretory Pathway (GO:1903305),6/35,0.9401922403514832,0.9999952683500742,0,0,0.5586130211395415,0.034450175371133,SYT5;RPH3AL;PREPL;SNAPIN;LRRK2;UNC13D
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),173/705,0.9402261925617654,0.9999952683500742,0,0,0.8747550172045144,0.0539153525289065,ANKRD13C;ZFAND6;ARAF;CLU;AQP1;RPS6KA3;HMGN5;LGALS1;CCND2;AKT2;PIM1;ARL6IP5;PROK2;HOXA5;MAP3K5;PHLDA3;BNIP3L;MEF2C;AREL1;DAPK2;ACTN1;HGF;MAPK8IP3;MORF4L1;SFRP1;BIN1;YME1L1;VDAC1;IL6ST;GPLD1;PPID;NOTCH2;MAPKAP1;DCUN1D3;GATA6;HTRA2;PIK3R1;HIGD1A;FOXO1;RTN4;SAV1;PRDX3;SOCS2;SOCS3;ARHGAP21;BAG4;SCIN;GRK5;BAG1;NCKAP1L;NAE1;MCL1;HSPA9;WNT10B;EGR1;JUN;EGR3;TSLP;CRADD;GADD45B;WFS1;CIDEA;OSGIN1;HMGA2;BRAF;IGF1;SMAD6;CIDEC;TNFRSF10D;HIGD2A;KLHL20;SETX;BMP4;DAB2;BMP2;GCLC;IL6;BCL6;WNK3;BCL2;MDM2;CD28;TNFSF9;NF2;TDGF1;BCL2L2;ITGB1;AVEN;PRR5;GSK3B;RARG;TNFAIP8;DDX3X;CITED2;FAF1;APIP;HTR2B;ETFA;HMGB1;IER3IP1;RNF157;CASP9;FLCN;ING3;SPTLC1;CASP8;OPA1;AIFM2;GPER1;FFAR4;EMILIN2;IFT57;BOK;IL10;KLF11;ANXA1;APAF1;PRMT2;ANXA5;PAWR;ANO6;RPS3A;OXSR1;SIRT1;DUSP6;LATS2;PAX8;PAX7;DDAH2;RASA1;CAT;GAS1;ANGPTL4;GAS6;ARHGEF7;CRYAB;PRKAA1;FSTL1;THBS1;EGFR;MALT1;ACVR1C;PNMA1;BNIP1;SAP18;BNIP2;FYN;SLIT2;MAP4K4;SNCA;EGLN2;ANGPT1;BNIP3;NR1H4;CFLAR;PNMA2;HIPK3;HYPK;RSL1D1;PINK1;ITCH;APC;AXL;STK17B;TRIM35;FAS;SPRY2;PDCD2;ERCC5;QRICH1;NAA15;TEK;VIP
GO_Biological_Process_2023,IMP Metabolic Process (GO:0046040),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,HPRT1
GO_Biological_Process_2023,Aminoglycan Metabolic Process (GO:0006022),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,XYLT1
GO_Biological_Process_2023,Apical Protein Localization (GO:0045176),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,CELSR1
GO_Biological_Process_2023,Cell Differentiation In Spinal Cord (GO:0021515),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,SOX6
GO_Biological_Process_2023,Cellular Response To Oxygen Levels (GO:0071453),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,ATP6V1A
GO_Biological_Process_2023,Ectoderm Development (GO:0007398),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,STX2
GO_Biological_Process_2023,Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,NPHP3
GO_Biological_Process_2023,Glycerolipid Metabolic Process (GO:0046486),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PGPEP1
GO_Biological_Process_2023,Glycosphingolipid Catabolic Process (GO:0046479),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,NEU3
GO_Biological_Process_2023,Kinetochore Assembly (GO:0051382),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,CENPC
GO_Biological_Process_2023,Leucine Transport (GO:0015820),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,SLC7A6
GO_Biological_Process_2023,Lung Epithelium Development (GO:0060428),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,BMP4
GO_Biological_Process_2023,Mitochondrial DNA Replication (GO:0006264),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PRIMPOL
GO_Biological_Process_2023,Mitochondrial RNA Processing (GO:0000963),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,FASTKD2
GO_Biological_Process_2023,Mitotic Nuclear Membrane Organization (GO:0101024),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,SIRT2
GO_Biological_Process_2023,Mitotic Nuclear Membrane Reassembly (GO:0007084),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,SIRT2
GO_Biological_Process_2023,Morphogenesis Of An Epithelial Sheet (GO:0002011),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,BMP5
GO_Biological_Process_2023,Negative Regulation Of Alpha-Beta T Cell Proliferation (GO:0046642),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,XCL1
GO_Biological_Process_2023,Negative Regulation Of Bone Resorption (GO:0045779),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,IL6
GO_Biological_Process_2023,Negative Regulation Of Hormone Secretion (GO:0046888),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,NPVF
GO_Biological_Process_2023,Negative Regulation Of Protein Exit From Endoplasmic Reticulum (GO:0070862),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,INSIG1
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase I (GO:0016479),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,BAZ2A
GO_Biological_Process_2023,Negative Regulation Of Transcription By Competitive Promoter Binding (GO:0010944),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,CREB1
GO_Biological_Process_2023,Nuclear mRNA Surveillance (GO:0071028),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,EXOSC6
GO_Biological_Process_2023,Nucleoside Metabolic Process (GO:0009116),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,MACROD2
GO_Biological_Process_2023,Positive Regulation Of RIG-I Signaling Pathway (GO:1900246),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,TRIM15
GO_Biological_Process_2023,Positive Regulation Of mRNA 3'-End Processing (GO:0031442),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,CPEB1
GO_Biological_Process_2023,Positive Regulation Of Monocyte Differentiation (GO:0045657),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,CSF1
GO_Biological_Process_2023,Positive Regulation Of rRNA Processing (GO:2000234),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,RIOK2
GO_Biological_Process_2023,Positive Regulation Of Skeletal Muscle Tissue Development (GO:0048643),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,MEF2C
GO_Biological_Process_2023,Positive Regulation Of Transcription Of Nucleolar Large rRNA By RNA Polymerase I (GO:1901838),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PWP1
GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030949),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PRKCB
GO_Biological_Process_2023,Postsynapse Assembly (GO:0099068),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,NLGN1
GO_Biological_Process_2023,Primary Alcohol Catabolic Process (GO:0034310),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,AKR1C3
GO_Biological_Process_2023,Protein K11-linked Deubiquitination (GO:0035871),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,USP30
GO_Biological_Process_2023,"Regulation Of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)",1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,HFE
GO_Biological_Process_2023,Regulation Of Endoplasmic Reticulum Unfolded Protein Response (GO:1900101),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PIK3R1
GO_Biological_Process_2023,Regulation Of Granulocyte Differentiation (GO:0030852),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,C1QC
GO_Biological_Process_2023,Regulation Of Inflammatory Response To Wounding (GO:0106014),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,IL33
GO_Biological_Process_2023,Regulation Of Long-Term Synaptic Depression (GO:1900452),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,KCNB1
GO_Biological_Process_2023,Regulation Of Mast Cell Activation (GO:0033003),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,TSLP
GO_Biological_Process_2023,Regulation Of Protein Lipidation (GO:1903059),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,RABL3
GO_Biological_Process_2023,Regulation Of Store-Operated Calcium Entry (GO:2001256),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,EFHB
GO_Biological_Process_2023,Response To Histamine (GO:0034776),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,DRD3
GO_Biological_Process_2023,Response To Type I Interferon (GO:0034340),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,SP100
GO_Biological_Process_2023,Telomere Maintenance Via Recombination (GO:0000722),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,PTEN
GO_Biological_Process_2023,Telomeric Loop Disassembly (GO:0090657),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,TERF2
GO_Biological_Process_2023,Transferrin Transport (GO:0033572),1/9,0.9412387981776082,0.9999952683500742,0,0,0.3376689501944084,0.0204486916726773,RAB11B
